System ID,UPC,EAN,Custom SKU,Manufact. SKU,Item,Remaining,Total Cost,Avg. Cost,Sale Price,Margin
210000034088,00641300153173,,,15317,Crank Brothers Egg Beater 2 Pedals with Black Spring,2,$58.00,$57.00,$99.00,41.41%
210000034100,00012527008919,,ACAR00005,805BL,Saris Bones Trunk Rack 2-Bike Black,13,$105.00,$84.31,$169.99,38.23%
210000034122,00012527030354,,ACAR0007,,Saris 3035 Hatch Hugger Straps,12,$9.04,$15.43,$24.99,63.83%
210000034304,00768661118631,,ACBG0162,TT9635B,"Topeak MTX TrunkBag DXP Rack Bag with Expandable Panniers: 22.6 Liter, Black",1,$61.00,$56.73,$119.95,49.15%
210000034330,00072774961634,,ACCA0005,,Sunlite Bike in A-Bag,1,$139.00,$139.00,$199.95,30.48%
210000034386,00642016800085,,ACCP006801,8000-8,Protege 9.0 Mount & Sensor,1,$13.60,$14.50,$28.95,53.02%
210000034462,00750762100110,,ACKS0002,KS2B,Greenfield: KS2B Kickstand SHORTY - Black w/ top plate (fits 56cm or smaller),2,$5.40,$5.60,$11.95,54.81%
210000034474,00000000000000,,ACKS0016,,Greenfield Rubber Kickstand Foot (EACH),15,$0.75,$0.86,$2.95,74.58%
210000034520,00000000000000,,ACLI0103,,Helmet Mount Turbo 740,1,$11.00,$11.00,$19.95,44.86%
210000034588,00610990200009,,ACMA0015,W29000102,White Lightning Trigger Chain Cleaning System,5,$14.45,$14.43,$25.99,44.40%
210000034590,00032053210600,,ACMA0021,,Triflow: 6oz Large Squeeze Bottle,3,$5.85,$6.52,$10.99,46.77%
210000034592,00851880001096,,ACMA0022,SUPER WEB 4,Rock N Roll Super-Web Grease,6,$4.40,$3.89,$7.95,44.65%
210000034600,00851880001058,,ACMA0030,,Rock-N-Roll Gold Lube Squeeze Bottle: 4oz,12,$4.30,$4.30,$7.99,46.18%
210000034608,00851880001034,,,,Rock-N-Roll Extreme Lube Squeeze Bottle: 4oz,3,$3.65,$3.65,$7.99,54.32%
210000034610,00851880001041,,ACMA0038016,,Rock-N-Roll: Extreme Lube BLUE 16oz (Big Bottle) (SERVICE),2,$10.79,$10.79,$19.95,45.91%
210000034618,00831273606848,,,,Brooks Proofide Saddle Dressing 25g,1,$6.30,$6.50,$11.99,47.46%
210000034632,00036121620001,,ACMA0057,B00320101,Finish Line: Bike Wash 34oz (Spray Bottle),6,$6.99,$7.05,$12.99,46.19%
210000034640,00787769110156,,ACMA0066,11015,ProGold Prolink Chain Lube Squeeze Bottle: 4oz,3,$5.30,$5.30,$8.99,41.05%
210000034716,00657399000274,,ACMI0078,,Paceline: Eurostyle Chamois Butt'r: 8oz Tube,3,$11.00,$11.35,$21.95,49.89%
210000034764,00000000000000,,ACPU0081,,Air-Bob Repl. Inflator Tube,1,$5.15,$5.15,$12.95,60.23%
